sent_id,DOsentence,PDsentence,realized_construction,Particle,Remarks,Coordination_of_Theme,Coordination_of_Recipient,
561,John paid somebody twenty-five dollars.,John paid twenty-five dollars to somebody.,DO,-,,-,-,
562,It cost me at least six seven eight dollars.,It cost at least six seven eight dollars to me.,DO,-,,-,-,
563,Mary showed them it.,Mary showed it to them.,PD,-,,-,-,
565,It cost me megabucks.,It cost megabucks to me.,DO,-,,-,-,
566,I took a friend of mine my car.,I took my car to a friend of mine.,PD,-,,-,-,
567,Linda gave you the labor.,Linda gave the labor to you.,DO,-,,-,-,
568,Mary gave you the parts.,Mary gave the parts to you.,DO,-,,-,-,
569,Juan loaned them all of these billions of dollars.,Juan loaned all of these billions of dollars to them.,DO,-,,-,-,
570,Maria loaned them all that money.,Maria loaned all that money to them.,DO,-,,-,-,
571,Maria did not loan them any more money.,Maria did not loan any more money to them.,DO,-,,-,-,
572,Juan gave them it.,Juan gave it to them.,PD,-,,-,-,
573,Linda loaned them it.,Linda loaned it to them.,PD,-,,-,-,
574,Maria loaned them it.,Maria loaned it to them.,PD,-,,-,-,
575,Maria loaned people like that money.,Maria loaned money to people like that.,PD,-,,-,-,
576,Maria gave them money.,Maria gave money to them.,DO,-,,-,-,
577,Michael gave them money.,Michael gave money to them.,DO,-,,-,-,
578,Bob gave them something.,Bob gave something to them.,DO,-,,-,-,
579,John brought me it.,John brought it to me.,PD,-,,-,-,
580,John gave Kitty Cat some payback.,John gave some payback to Kitty Cat.,DO,-,,-,-,
581,It cost us two hundred dollars.,It cost two hundred dollars to us.,DO,-,,-,-,
582,John paid my diet a whole lot of attention.,John paid a whole lot of attention to my diet.,PD,-,,-,-,
583,Alice gave you a little more activity.,Alice gave a little more activity to you.,DO,-,,-,-,
584,Maria gave me a lot of room to play with.,Maria gave a lot of room to play with to me.,DO,-,,-,-,
585,Michael showed us another football game.,Michael showed another football game to us.,DO,-,,-,-,
586,They gave us another game.,They gave another game to us.,DO,-,,-,-,
587,They gave you much respect for their team.,They gave much respect for their team to you.,DO,-,,-,-,
588,Alice told you something.,Alice told something to you.,DO,-,,-,-,
589,Alice gave me a job.,Alice gave a job to me.,DO,-,,-,-,
590,Maria gave them a job.,Maria gave a job to them.,DO,-,,-,-,
591,We brought their little area more jobs and more federal spending.,We brought more jobs and more federal spending to their little area.,PD,-,,+,-,
592,It gave people that come into the country more money to start their life.,It gave more money to start their life to people that come into the country.,DO,-,,-,-,
593,Mary gave them that loan.,Mary gave that loan to them.,DO,-,,-,-,
594,Mary gave them a life sentence.,Mary gave a life sentence to them.,DO,-,,-,-,
595,We gave them at least a third of the thing that they win.,We gave at least a third of the thing that they win to them.,DO,-,,-,-,
596,Michael gave them more than one life sentence.,Michael gave more than one life sentence to them.,DO,-,,-,-,
597,Michael gave them one appeal.,Michael gave one appeal to them.,DO,-,,-,-,
598,Bob gave them one appeal.,Bob gave one appeal to them.,DO,-,,-,-,
599,Juan gave them the death penalty.,Juan gave the death penalty to them.,DO,-,,-,-,
600,Maria gave me the money.,Maria gave the money to me.,DO,-,,-,-,
601,John gave us it.,John gave it to us.,PD,-,,-,-,
602,Michael gave her a hard time.,Michael gave a hard time to her.,DO,-,,-,-,
603,Bob gave an Iranian a tip of four rangers tickets.,Bob gave a tip of four rangers tickets to an Iranian.,DO,-,,-,-,
604,Maria quoted you the proverb.,Maria quoted the proverb to you.,DO,-,,-,-,
605,Michael gave Alan them.,Michael gave them to Alan.,PD,-,,-,-,
606,Maria gave us them.,Maria gave them to us.,PD,-,,-,-,
607,Mary told them that.,Mary told that to them.,DO,-,,-,-,
608,Linda sent you them.,Linda sent them to you.,PD,-,,-,-,
609,Mary gave them a sixty year sentence.,Mary gave a sixty year sentence to them.,DO,-,,-,-,
610,Linda did not pay it any attention.,Linda did not pay any attention to it.,PD,-,,-,-,
611,Juan did not pay the ones that are starving next door any attention.,Juan did not pay any attention to the ones that are starving next door.,PD,-,,-,-,
612,Bob wrote them a check.,Bob wrote a check to them.,DO,-,,-,-,
613,Michael sent them a letter with a copy of the canceled check and their card cut up into about a hundred pieces.,Michael sent a letter with a copy of the canceled check and their card cut up into about a hundred pieces to them.,DO,-,,-,-,
615,Mary did not send me anything else.,Mary did not send anything else to me.,DO,-,,-,-,
617,Bob gave me instant credit.,Bob gave instant credit to me.,DO,-,,-,-,
618,Maria sent them it.,Maria sent it to them.,PD,-,,-,-,
619,Linda gave you some of your money.,Linda gave some of your money to you.,DO,back,,-,-,
620,Linda sent you them.,Linda sent them to you.,PD,-,,-,-,
621,Bob sent you this nice statement.,Bob sent this nice statement to you.,DO,-,,-,-,
622,Alice allowed everybody a chance to get out of it.,Alice allowed a chance to get out of it to everybody.,DO,-,,-,-,
623,Juan gave it a taste.,Juan gave a taste to it.,DO,-,,-,-,
624,Michael gave me my paycheck.,Michael gave my paycheck to me.,DO,-,,-,-,
625,I never paid most of the current music much attention.,I never paid much attention to most of the current music.,PD,-,,-,-,
626,Linda gave them some exposure to different kinds of music.,Linda gave some exposure to different kinds of music to them.,DO,-,,-,-,
627,Linda wrote the parole board letters.,Linda wrote letters to the parole board.,PD,-,,-,-,
628,Mary gave them life in jail.,Mary gave life in jail to them.,DO,-,,-,-,
629,John gave Leland it.,John gave it to Leland.,PD,-,,-,-,
630,Alice gave him some extra credit.,Alice gave some extra credit to him.,DO,-,,-,-,
631,Michael charged them a dollar.,Michael charged a dollar to them.,DO,-,,-,-,
632,It cost us a lot more than money.,It cost a lot more than money to us.,DO,-,,-,-,
633,Juan gave them it.,Juan gave it to them.,PD,-,,-,-,
634,Alice gave you one or two dollars.,Alice gave one or two dollars to you.,DO,-,,-,-,
635,John gave them ten dollars.,John gave ten dollars to them.,DO,-,,-,-,
636,Linda charged you two dollars.,Linda charged two dollars to you.,DO,-,,-,-,
637,It cost us umpteen thousand dollars.,It cost umpteen thousand dollars to us.,DO,-,,-,-,
638,Linda did not pay us anything.,Linda did not pay anything to us.,DO,-,,-,-,
639,Maria gave you it.,Maria gave it to you.,PD,-,,-,-,
640,Alice gave them their money's worth.,Alice gave their money's worth to them.,DO,-,,-,-,
641,Maria gave me this application.,Maria gave this application to me.,DO,-,,-,-,
642,Mary gave me this Prevention walking magazine.,Mary gave this Prevention walking magazine to me.,DO,-,,-,-,
643,We gave anybody two hundred and fifty bucks.,We gave two hundred and fifty bucks to anybody.,DO,-,,-,-,
644,Michael did not promise them anything.,Michael did not promise anything to them.,DO,-,,-,-,
645,It gave businesses more incentives.,It gave more incentives to businesses.,DO,-,,-,-,
646,It offered industry some incentives to do more reducing of their waste products and reusing them.,It offered some incentives to do more reducing of their waste products and reusing them to industry.,DO,-,,-,-,
647,Linda did not pay them anything.,Linda did not pay anything to them.,DO,-,,-,-,
648,Maria paid them some kind of stipend.,Maria paid some kind of stipend to them.,DO,-,,-,-,
649,John paid them good money.,John paid good money to them.,DO,-,,-,-,
650,Bob paid you good money.,Bob paid good money to you.,DO,-,,-,-,
651,Mary sold private companies information.,Mary sold information to private companies.,PD,-,,-,-,
652,Linda told you that.,Linda told that to you.,DO,-,,-,-,
653,Maria wrote them this long detailed letter and everything like that.,Maria wrote this long detailed letter and everything like that to them.,PD,-,attachment_ambiguity,-,-,
654,Juan gave you a different way of thinking.,Juan gave a different way of thinking to you.,DO,-,,-,-,
655,Maria gave her it.,Maria gave it to her.,PD,-,,-,-,
656,Linda gave her it.,Linda gave it to her.,PD,-,,-,-,
657,Linda gave her penicillin.,Linda gave penicillin to her.,DO,-,,-,-,
658,Michael gave her some medication she was definitely allergic to.,Michael gave some medication she was definitely allergic to to her.,DO,-,,-,-,
659,Bob gave me a bulb.,Bob gave a bulb to me.,DO,-,,-,-,
660,Michael sent you different bulbs that they came out with.,Michael sent different bulbs that they came out with to you.,DO,-,,-,-,
661,Maria gave me some azaleas.,Maria gave some azaleas to me.,DO,-,,-,-,
662,Juan gave me some of the bulbs.,Juan gave some of the bulbs to me.,DO,-,,-,-,
663,Bob gave everybody them.,Bob gave them to everybody.,PD,-,,-,-,
664,Linda gave her the third degree.,Linda gave the third degree to her.,DO,-,,-,-,
665,Juan gave me a break.,Juan gave a break to me.,DO,-,,-,-,
666,It gave you the effect.,It gave the effect to you.,DO,-,prepositional ambiguity - for?,-,-,
667,Mary gave me it.,Mary gave it to me.,PD,-,,-,-,
668,John paid me like two dollars.,John paid like two dollars to me.,DO,-,,-,-,
670,He sent us his grace.,He sent his grace to us.,DO,-,,-,-,
671,They sent their people a story about the United States.,They sent a story about the United States to their people.,PD,-,,-,-,
672,Alice did us harm.,Alice did harm to us.,DO,-,,-,-,
673,Alice gave them plans for some of the top secret aircraft that we have and things like that.,Alice gave plans for some of the top secret aircraft that we have and things like that to them.,DO,-,,-,-,
674,Michael gave the other countries that have as much ability to do harm to us as anyone things.,Michael gave things to the other countries that have as much ability to do harm to us as anyone.,PD,away,,-,-,
675,It gave them a lot of focus.,It gave a lot of focus to them.,DO,-,,-,-,
676,John sent me boxes full of different books.,John sent boxes full of different books to me.,DO,-,,-,-,
677,Michael gave you everything.,Michael gave everything to you.,DO,-,,-,-,
679,Mary brought me a little Lhasa Apso.,Mary brought a little Lhasa Apso to me.,DO,-,,-,-,
680,It gave you traction.,It gave traction to you.,DO,-,,-,-,
681,Alice gave you time off to go to the polls.,Alice gave time off to go to the polls to you.,DO,-,,-,-,
682,Maria gave me a little bit of time to get parked.,Maria gave a little bit of time to get parked to me.,DO,-,,-,-,
683,Alice taught Spanish speakers or other European language speakers English.,Alice taught English to Spanish speakers or to other European language speakers.,PD,-,,-,-,
684,Michael gave them information that was free to them anyway if they just knew how to get it.,Michael gave information that was free to them anyway if they just knew how to get it to them.,DO,-,,-,-,
685,Linda taught us very many things about how really to go about helping people to learn another language.,Linda taught very many things about how really to go about helping people to learn another language to us.,DO,-,,-,-,
686,John gave them isolation time.,John gave isolation time to them.,DO,-,,-,-,
687,Linda gave her it.,Linda gave it to her.,PD,-,,-,-,
688,Juan gave me a ride down to get my part.,Juan gave a ride down to get my part to me.,DO,-,,-,-,
689,Michael sold some reconditioning house it.,Michael sold it to some reconditioning house.,PD,-,,-,-,
690,It cost you nothing.,It cost nothing to you.,DO,-,,-,-,
691,It cost you three times as much.,It cost three times as much to you.,DO,-,,-,-,
692,Maria gave you a lot of entertainment.,Maria gave a lot of entertainment to you.,DO,-,,-,-,
693,Linda told you that.,Linda told that to you.,DO,-,,-,-,
694,Linda gave them some type of aid.,Linda gave some type of aid to them.,DO,-,,-,-,
695,Juan told you something.,Juan told something to you.,DO,-,,-,-,
696,Alice gave everybody the benefit of a doubt.,Alice gave the benefit of a doubt to everybody.,DO,-,,-,-,
697,Alice gave me it.,Alice gave it to me.,PD,back,,-,-,
698,Juan gave you Sudafed.,Juan gave Sudafed to you.,DO,-,,-,-,
699,Michael gave them that.,Michael gave that to them.,DO,-,,-,-,
700,Mary gave you a diet.,Mary gave a diet to you.,DO,-,,-,-,
701,They showed you everything to do and how to do it and the whole nine yards.,They showed everything to do and how to do it and the whole nine yards to you.,DO,-,,-,-,
702,Linda gave them a chance to have some positive self-esteem.,Linda gave a chance to have some positive self-esteem to them.,DO,-,,-,-,
703,John sold the community it.,John sold it to the community.,PD,-,,-,-,
704,It cost us money.,It cost money to us.,DO,-,,-,-,
705,Linda gave some folks some jobs.,Linda gave some jobs to some folks.,DO,-,,-,-,
706,John denied you a driver's license.,John denied a driver's license to you.,DO,-,,-,-,
707,They denied you driving.,They denied driving to you.,DO,-,,-,-,
708,Maria gave you these measurements like forty-two and three eighths inches.,Maria gave these measurements like forty-two and three eighths inches to you.,DO,-,,-,-,
710,Juan gave him the nomination.,Juan gave the nomination to him.,DO,-,,-,-,
711,John showed people in Massachusetts the picture of Dukakis.,John showed the picture of Dukakis to people in Massachusetts.,PD,-,,-,-,
712,Bob gave it commands.,Bob gave commands to it.,DO,-,,-,-,
713,Alice sold the automotive industry parts.,Alice sold parts to the automotive industry.,PD,-,,-,-,
714,Alice did not pay it any attention.,Alice did not pay any attention to it.,PD,-,,-,-,
715,Alice showed me it.,Alice showed it to me.,PD,-,,-,-,
716,Mary gave my son it.,Mary gave it to my son.,PD,-,,-,-,
717,Maria gave Bush a lot of credit.,Maria gave a lot of credit to Bush.,DO,-,,-,-,
718,He gave us a state income tax.,He gave a state income tax to us.,DO,-,,-,-,
719,Linda gave us things to do with the children.,Linda gave things to do with the children to us.,DO,-,,-,-,
720,Michael gave the children an out that they don't have to speak English.,Michael gave an out that they don't have to speak English to the children.,DO,-,,-,-,
722,Juan showed me something.,Juan showed something to me.,DO,-,,-,-,
723,John taught me something.,John taught something to me.,DO,-,,-,-,
724,Mary showed me something about a profession that I don't necessarily know how it operates.,Mary showed something about a profession that I don't necessarily know how it operates to me.,DO,-,,-,-,
725,Linda gave me the test.,Linda gave the test to me.,DO,-,,-,-,
726,Juan did not tell us anything important.,Juan did not tell anything important to us.,DO,-,,-,-,
727,Mary gave you the local obits.,Mary gave the local obits to you.,DO,-,,-,-,
728,Michael told me the truth.,Michael told the truth to me.,DO,-,,-,-,
729,Juan told me the truth or more importantly all the truth.,Juan told the truth or more importantly all the truth to me.,DO,-,,-,-,
730,Bob gave someone else it.,Bob gave it to someone else.,PD,-,,-,-,
731,They never gave your kids any kind of education and stuff.,They neger gave any kind of education and stuff to your kids.,DO,-,,-,-,
732,It cost him a couple hundred dollars.,It cost a couple hundred dollars to him.,DO,-,,-,-,
733,Michael gave it a good try.,Michael gave a good try to it.,DO,-,,-,-,
734,Michael told you a story.,Michael told a story to you.,DO,-,,-,-,
735,Mary gave him an orange or something.,Mary gave an orange or something to him.,DO,-,,-,-,
738,Mary handed me the other phone.,Mary handed the other phone to me.,DO,-,,-,-,
739,Maria told you the story about fencing.,Maria told the story about fencing to you.,DO,-,,-,-,
740,I never told him anything that he didn't know.,I never told anything that he didn't know to him.,DO,-,,-,-,
741,It cost you a fortune.,It cost a fortune to you.,DO,-,,-,-,
742,John gave you a lot of credit.,John gave a lot of credit to you.,DO,-,,-,-,
743,Maria paid them more attention.,Maria paid more attention to them.,PD,-,,-,-,
745,Maria sent you one.,Maria sent one to you.,DO,-,,-,-,
746,Maria gave you some referrals.,Maria gave some referrals to you.,DO,-,,-,-,
747,Juan gave it a try.,Juan gave a try to it.,DO,-,,-,-,
748,Maria gave them some public service.,Maria gave some public service to them.,DO,-,,-,-,
749,Linda gave me another one.,Linda gave another one to me.,DO,-,,-,-,
750,Maria gave the grownups a chance to play a game or just talk or something like that.,Maria gave a chance to play a game or just talk or something like that to the grownups.,DO,-,,-,-,
751,Alice gave me a really good recipe for ham loaf.,Alice gave a really good recipe for ham loaf to me.,DO,-,,-,-,
753,Maria sold my kid drugs.,Maria sold drugs to my kid.,DO,-,,-,-,
754,Bob paid you more.,Bob paid more to you.,DO,-,,-,-,
755,Linda paid you more.,Linda paid more to you.,DO,-,,-,-,
756,Maria taught him a lesson.,Maria taught a lesson to him.,DO,-,,-,-,
757,Mary gave him fifteen.,Mary gave fifteen to him.,DO,-,,-,-,
758,Bob told the jury that.,Bob told that to the jury.,DO,-,,-,-,
759,Linda paid cats attention.,Linda paid attention to cats.,PD,-,,-,-,
760,Linda offered me it.,Linda offered it to me.,PD,-,,-,-,
761,Linda told me the same thing.,Linda told the same thing to me.,DO,-,,-,-,
762,Linda gave you a certain amount.,Linda gave a certain amount to you.,DO,-,,-,-,
763,Maria gave us a credit card.,Maria gave a credit card to us.,DO,-,,-,-,
764,Michael gave you a false sense of security or something.,Michael gave a false sense of security or something to you.,DO,-,,-,-,
765,Linda never sent me any credit card.,Linda never sent any credit card to me.,DO,-,,-,-,
766,Michael paid them interest.,Michael paid interest to them.,DO,-,,-,-,
767,John charged you interest.,John charged interest to you.,DO,-,,-,-,
768,Bob sent you it.,Bob sent it to you.,PD,-,,-,-,
769,Michael sent them something free.,Michael sent something free to them.,DO,-,,-,-,
770,Maria sent you these things that look like checks.,Maria sent these things that look like checks to you.,DO,-,,-,-,
771,John sent me this money.,John sent this money to me.,DO,-,,-,-,
772,Michael gave me information which I could not have gotten otherwise.,Michael gave information which I could not have gotten otherwise to me.,DO,-,,-,-,
773,Michael wished you luck.,Michael wished luck to you.,DO,-,,-,-,
774,You allotted yourself enough time to go out.,You allotted enough time to go out to yourself.,DO,-,,-,-,
775,Maria never paid it much attention.,Maria never paid much attention to it.,PD,-,,-,-,
776,They gave their child the leeway to choose their school.,They gave the leeway to choose their school to their child.,DO,-,,-,-,
777,They gave you the potential to do whatever you wanted.,They gave the potential to do whatever you wanted to you.,DO,-,,-,-,
778,They gave you the self-esteem to do and achieve whatever you set your mind on.,They gave the self-esteem to do and achieve whatever you set your mind on to you.,DO,-,,-,-,
779,Alice charged me an extra ten bucks.,Alice charged an extra ten bucks to me.,DO,-,,-,-,
780,They never gave you any indication of what kind of plastic that is.,They never gave any indication of what kind of plastic that is to you.,DO,-,,-,-,
781,I told somebody who understands binary that.,I told that to somebody who understands binary.,PD,-,,-,-,
782,Linda loaned you it.,Linda loaned it to you.,PD,-,,-,-,
785,Alice gave them money.,Alice gave money to them.,DO,-,,-,-,
786,John gave these people money.,John gave money to these people.,DO,-,,-,-,
787,Bob gave us a hard time.,Bob gave a hard time to us.,DO,-,,-,-,
788,Maria paid you enough.,Maria paid enough to you.,DO,-,,-,-,
789,Juan loaned my daughter it.,Juan loaned it to my daughter.,PD,-,,-,-,
790,John gave me my paycheck.,John gave my paycheck to me.,DO,-,,-,-,
791,Mary sent us a platter of each dessert.,Mary sent a platter of each dessert to us.,DO,-,,-,-,
792,Juan gave us it.,Juan gave it to us.,PD,-,,-,-,
793,Linda gave them a little patronage.,Linda gave a little patronage to them.,DO,-,,-,-,
794,Juan gave them a couple of days.,Juan gave a couple of days to them.,DO,-,,-,-,
795,Mary gave me shelter.,Mary gave shelter to me.,DO,-,,-,-,
796,Alice gave you that.,Alice gave that to you.,DO,-,,-,-,
797,Alice taught the Russian lawyers that seminar.,Alice taught that seminar to the Russian lawyers.,PD,-,,-,-,
798,It gave you energy.,It gave energy to you.,DO,-,,-,-,
799,They gave it some sort of a weird metric number like six point two eight seven instead of six millimeter.,They gave some sort of a weird metric number like six point two eight seven instead of six millimeter to it.,DO,-,,-,-,
800,John gave him your name.,John gave your name to him.,DO,-,,-,-,
801,Maria gave me an injection.,Maria gave an injection to me.,DO,-,,-,-,
802,Alice gave me the option.,Alice gave the option to me.,DO,-,,-,-,
803,Alice gave them additional time to prove their innocence.,Alice gave additional time to prove their innocence to them.,DO,-,,-,-,
804,Maria gave them another trial.,Maria gave another trial to them.,DO,-,,-,-,
805,Maria gave him twenty years.,Maria gave twenty years to him.,DO,-,,-,-,
806,John did not tell you anything about them.,John did not tell anything about them to you.,DO,-,,-,-,
807,John taught them the finer points.,John taught the finer points to them.,DO,-,,-,-,
808,They brought that jury different perspectives.,They brought different perspectives to that jury.,PD,-,heavy_(?)_np_shift,-,-,
809,It cost the taxpayer quite a bit more money.,It cost quite a bit more money to the taxpayer.,DO,-,,-,-,
810,Bob gave you another shot.,Bob gave another shot to you.,DO,-,,-,-,
811,Michael would not give you any more.,Michael would not give any more to you.,DO,-,,-,-,
812,It never cost you anything.,It never cost anything to you.,DO,-,,-,-,
813,It never cost you anything.,It never cost anything to you.,DO,-,,-,-,
814,Linda gave her back her interest.,Linda gave back her interest to her.,DO,back,,-,-,
815,Bob sent you something proving that you actually did have it.,Bob sent something proving that you actually did have it to you.,DO,-,,-,-,
817,Alice brought us it.,Alice brought it to us.,PD,-,,-,-,
818,Juan gave me about thirty minutes thirty five minutes.,Juan gave about thirty minutes thirty five minutes to me.,DO,-,,-,-,
819,It brought the area some money.,It brought some money to the area.,PD,-,,-,-,
820,Bob sold somebody who wants to pay for them them.,Bob sold them to somebody who wants to pay for them.,PD,-,,-,-,
821,Linda sold everybody these systems.,Linda sold these systems to everybody.,PD,-,,-,-,
822,Mary offered them activities to maintain an active mind.,Mary offered activities to maintain an active mind to them.,DO,-,,-,-,
823,Juan gave them money.,Juan gave money to them.,DO,-,,-,-,
824,Mary gave more people death sentences.,Mary gave death sentences to more people.,DO,-,,-,-,
825,It gave you two different views of Dallas.,It gave two different views of Dallas to you.,DO,-,,-,-,
826,Alice gave it a shot.,Alice gave a shot to it.,DO,-,,-,-,
827,Michael showed them some of the things.,Michael showed some of the things to them.,DO,-,,-,-,
828,Maria gave us some Blockbuster gift certificates.,Maria gave some Blockbuster gift certificates to us.,DO,-,,-,-,
829,Linda gave the Greyhound Association her.,Linda gave her to the Greyhound Association.,PD,back,,-,-,
830,Juan paid physical fitness more attention.,Juan paid more attention to physical fitness.,PD,-,,-,-,
831,Bob sent me a check.,Bob sent a check to me.,DO,-,discontinuous theme,-,-,
832,John sent them it.,John sent it to them.,PD,-,,-,-,
833,Maria sent college kids these applications.,Maria sent these applications to college kids.,PD,-,,-,-,
834,It cost you a little more.,It cost a little more to you.,DO,-,,-,-,
835,Alice sold a straight person it.,Alice sold it to a straight person.,PD,-,,-,-,
836,Juan gave them time to look you up.,Juan gave time to look you up to them.,DO,-,,-,-,
838,Linda gave you a fifty dollar savings bond.,Linda gave a fifty dollar savings bond to you.,DO,-,,-,-,
839,Michael gave her standard shift parking.,Michael gave standard shift parking to her.,DO,-,,-,-,
840,Bob gave us tickets.,Bob gave tickets to us.,DO,-,,-,-,
841,Linda gave you a good feeling.,Linda gave a good feeling to you.,DO,-,,-,-,
842,Mary owed us about two thousand dollars.,Mary owed about two thousand dollars to us.,DO,-,,-,-,
843,They gave us Good Friday.,They gave Good Friday to us.,DO,-,,-,-,
844,Maria gave the company those.,Maria gave those to the company.,PD,back,,-,-,
845,We gave them higher tariffs.,We gave higher tariffs to them.,DO,-,,-,-,
846,We denied them their rights.,We denied their rights to them.,DO,-,,-,-,
847,Michael offered you a credit card.,Michael offered a credit card to you.,DO,-,,-,-,
848,They gave you a little cash back incentive.,They gave a little cash back incentive to you.,DO,-,,-,-,
849,Maria sent you a number that you can use.,Maria sent a number that you can use to you.,DO,-,,-,-,
850,We did not give them any more money than we have to.,We did not give any more money than we have to to them.,DO,-,,-,-,
851,Michael charged us like twenty-one and twenty-two percent interest.,Michael charged like twenty-one and twenty-two percent interest to us.,DO,-,,-,-,
852,Alice gave you such high credit limits.,Alice gave such high credit limits to you.,DO,-,,-,-,
853,Linda gave you the credit limit.,Linda gave the credit limit to you.,DO,-,,-,-,
854,Mary gave me the pin number.,Mary gave the pin number to me.,DO,-,,-,-,
855,John handed them the Visa Card.,John handed the Visa Card to them.,DO,-,,-,-,
856,John wrote him letters.,John wrote letters to him.,DO,-,,-,-,
857,John gave you a card.,John gave a card to you.,DO,-,,-,-,
858,John did not pay it any attention.,John did not pay any attention to it.,PD,-,,-,-,
859,Linda sold companies who would up in turn solicit you for business it.,Linda sold it to companies who would up in turn solicit you for business.,PD,-,"""up in turn""?",-,-,
860,You gave them permission to pull a credit thing on yourself.,You gave permission to pull a credit thing on yourself to them.,DO,-,,-,-,
861,They sold different companies their catalog list of people.,They sold their catalog list of people to different companies.,PD,-,,-,-,
862,Bob paid the process more serious attention.,Bob paid more serious attention to the process.,PD,-,,-,-,
863,John told him that.,John told that to him.,DO,-,,-,-,
864,It gave her an eight hundred number to call to find out where your local recycling center was.,It gave an eight hundred number to call to find out where your local recycling center was to her.,DO,-,,-,-,
865,Linda gave everybody big plastic garbage cans.,Linda gave big plastic garbage cans to everybody.,DO,-,,-,-,
866,Juan gave everybody containers to put aluminum and glass in.,Juan gave containers to put aluminum and glass in to everybody.,DO,-,,-,-,
867,Michael gave you kind of an incentive.,Michael gave kind of an incentive to you.,DO,-,,-,-,
869,Juan paid them a hundred and some odd dollars.,Juan paid a hundred and some odd dollars to them.,DO,-,,-,-,
870,John offered me two plans.,John offered two plans to me.,DO,-,,-,-,
871,Maria gave them the death penalty.,Maria gave the death penalty to them.,DO,-,,-,-,
872,Michael gave you a little bit of money.,Michael gave a little bit of money to you.,DO,back,,-,-,
873,I gave myself a tempting.,I gave a tempting to myself.,DO,-,,-,-,
874,Juan gave you an extra twenty-five dollars.,Juan gave an extra twenty-five dollars to you.,DO,-,,-,-,
875,Juan paid you cash back.,Juan paid cash back to you.,DO,-,,-,-,
876,I charged my credit card it.,I charged it to my credit card.,PD,-,,-,-,
877,Mary paid me probably eight or nine bucks.,Mary paid probably eight or nine bucks to me.,DO,back,,-,-,
878,Alice gave me a few ideas on what you think is wrong with our public school system.,Alice gave a few ideas on what you think is wrong with our public school system to me.,DO,-,,-,-,
879,Juan told us that.,Juan told that to us.,DO,-,,-,-,
880,Bob paid that kind of topic attention.,Bob paid attention to that kind of topic.,PD,-,,-,-,
881,Juan gave you a more than six months prescription.,Juan gave a more than six months prescription to you.,DO,-,,-,-,
882,Michael paid me that.,Michael paid that to me.,DO,-,,-,-,
883,Juan gave you increased HDLs.,Juan gave increased HDLs to you.,DO,back,,-,-,
884,John taught me Arabic.,John taught Arabic to me.,DO,-,,-,-,
885,Juan gave him a bath.,Juan gave a bath to him.,DO,-,,-,-,
886,Maria gave me this dog.,Maria gave this dog to me.,DO,-,,-,-,
887,Juan gave it a little added touch of something.,Juan gave a little added touch of something to it.,DO,-,,-,-,
888,It gave the convicts something to do.,It gave something to do to the convicts.,DO,-,,-,-,
889,John gave you these boxes.,John gave these boxes to you.,DO,-,,-,-,
890,John would serve anybody anything.,John would serve anything to anybody.,PD,-,,-,-,
891,Alice would serve that person anything.,Alice would serve anything to that person.,DO,-,,-,-,
892,Mary sold New York City guns.,Mary sold guns to New York City.,PD,-,,-,-,
894,It gave me a feeling that we did something wrong.,It gave a feeling that we did something wrong to me.,DO,-,,-,-,
895,Bob gave you an example.,Bob gave an example to you.,DO,-,,-,-,
896,I taught myself everything I've learned about computers and programming.,I taught everything I've learned about computers and programming to myself.,DO,-,,-,-,
897,John gave Schwarzkopf it.,John gave it to Schwarzkopf.,PD,-,,-,-,
898,Juan gave them the job that they're paid and supposedly skilled at doing.,Juan gave the job that they're paid and supposedly skilled at doing to them.,DO,-,,-,-,
899,Alice gave you a Lincoln Town Car.,Alice gave a Lincoln Town Car to you.,DO,-,,-,-,
900,Maria showed you the records.,Maria showed the records to you.,DO,-,,-,-,
901,Michael sold me this car.,Michael sold this car to me.,DO,-,,-,-,
902,Alice gave me this deal.,Alice gave this deal to me.,DO,-,,-,-,
904,Linda gave them a shot.,Linda gave a shot to them.,DO,-,,-,-,
905,It gave you a false sense of security.,It gave a false sense of security to you.,DO,-,,-,-,
906,Maria gave you a list of all the problems that the car's had in the past.,Maria gave a list of all the problems that the car's had in the past to you.,DO,-,,-,-,
908,Linda gave me a call.,Linda gave a call to me.,DO,-,,-,-,
909,Bob sent you a letter.,Bob sent a letter to you.,DO,-,,-,-,
910,Linda sent you credit cards.,Linda sent credit cards to you.,DO,-,,-,-,
911,Mary sold me some oil leases or some grave sites or something like that.,Mary sold some oil leases or some grave sites or something like that to me.,DO,-,,+,-,
912,Michael sold me something.,Michael sold something to me.,DO,-,,-,-,
913,Michael sold me something.,Michael sold something to me.,DO,-,,-,-,
914,Alice gave you a break.,Alice gave a break to you.,DO,-,,-,-,
915,Mary gave them the feeling of the importance of their position.,Mary gave the feeling of the importance of their position to them.,DO,-,,-,-,
916,They allotted each thing so much.,They allotted so much to each thing.,PD,-,,-,-,
917,Linda gave you little blue containers that you put all your bottles and cans and like the plastic milk jugs.,Linda gave little blue containers that you put all your bottles and cans and like the plastic milk jugs to you.,DO,-,,-,-,
918,Mary told them that.,Mary told that to them.,DO,-,,-,-,
919,John wrote Middlekauff a letter.,John wrote a letter to Middlekauff.,PD,-,,-,-,
920,It did not cost me any money.,It did not cost any money to me.,DO,-,,-,-,
