Dialogue_ID,Speaker_id,method_of_speaker_annotation,Verb,Semantic_Class,Particle,Givenness_of_theme,Givenness_of_Recipient,Theme,Number_of_Theme,Person_of_Theme,Simplified_Person_of_Theme,Expression_Type_of_Theme,Person/Pronominality_of_Theme,"Person/Pronominality_of_Theme,_non-specific_you=local",Length_of_Theme_in_Graphemic_Words_(normalized),Length_of_Theme_in_Graphemic_Words,Animacy_of_Theme,Simplified_Animacy_of_Theme,simplest_animacy_of _theme,Definiteness_of_Theme,Coordination_of_Theme,Recipient,Number_of_Recipluralient,Person_of_Recipient,Simplified_Person_of_Recipient,Expression_Type_of_Recipient,Person/Pronominality_of_Recipient,"Person/Pronominality,_ns_you=local_for_Recipient",Length_of_Recipient_in_Graphemic_Words_(normalized),Length_of_Recipient_in_Graphemic_Words,Animacy_of_Recipient,Simplified_Animacy_of_Recipient,Simples_animacy_of_recipient,Definiteness_of_Recipient,Coordination_of_Recipient,Remarks,Realized_Construction
2503,1019,auto,bring,transfer,-,evoked,bn,her,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,animal,non-human_animate,non-human_animate,definite,-,a different vet,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,human,human,human,indefinite,-,spatial_--_maybe,NP_PP.
2503,1019,hand,take,transfer,-,evoked,bn,her,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,animal,non-human_animate,non-human_animate,definite,-,a dog hospital,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,place,non-concrete,inan,indefinite,-,"spatial,_disfluent_(take_her_to_a_working_hos-,_dog_hospital,_animal_hospital)",NP_PP.
2503,1019,auto,cost,prevention of possession,-,bn,sitev,over five hundred dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2503,1050,auto,feed,transfer,-,frame,evoked,something,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,concrete,concrete,inan,indefinite,-,this cat,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,animal,non-human animate,non-human animate,definite,-,,NP NP.
2503,1019,hand,tell,communication,-,evoked,sitev,that,singular,third,non-local,demonstrative pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,definite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2503,1019,auto,take,transfer,-,evoked,bn,the cat,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,animal,non-human_animate,non-human_animate,definite,-,the vet,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,spatial_--_maybe,NP_PP.
2503,1019,auto,bring,transfer,-,evoked,anch,the little kitten,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,animal,non-human_animate,non-human_animate,definite,-,my folks,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP_PP.
2503,1019,auto,give,transfer,-,bn,sitev,the medication,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,definite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2503,1019,auto,owe,future transfer,-,bn,sitev,this bill,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2503,1019,auto,cost,prevention of possession,-,bn,evoked,three hundred dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,her,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2504,1225,auto,tell,communication,-,bn,sitev,another thing,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2504,1123,auto,teach,communication,-,frame,gen,more about what is going on with voting and with nonvoting,singular,third,non-local,quantifier,non-pronominal,non-pronominal,1+,11,non-concrete,non-concrete,inan,indefinite,-,the people,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP NP.
2505,1153,auto,give,transfer,-,bn,evoked,a big ring,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,indefinite,-,her,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2507,1127,hand,tell,communication,-,bn,sitev,a little more of my background where I really come to this position,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,13,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2507,1226,auto,sell,transfer,-,evoked,gen,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,anybody,singular,third,non-local,impersonal_pronoun,non-pronominal,non-pronominal,1,1,human,human,human,indefinite,-,,NP_PP.
2507,1226,auto,sell,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,one another,?,third,non-local,impersonal_pronoun,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP_PP.
2507,1127,auto,offer,future transfer,-,gen,gen,some money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,a pawnshop guy,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,human,human,human,indefinite,-,,NP NP.
2507,1226,auto,give,abstract,-,bn,evoked,two chances,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2508,1041,hand,cost,prevention of possession,-,bn,sitev,more than the honorariums I got for writing them,singular,third,non-local,quantifier,non-pronominal,non-pronominal,3+,9,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2508,1041,auto,give,transfer,-,bn,anch,so much cash,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,my wife,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP_PP.
2510,1230,auto,bring,transfer,-,gen,gen,a puppy,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,animal,non-human_animate,non-human_animate,indefinite,-,adult cats,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,animal,non-human_animate,non-human_animate,indefinite,-,,NP_PP.
2510,1230,auto,teach,communication,-,gen,evoked,commands,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,animal,non-human animate,non-human animate,definite,-,,NP NP.
2510,1106,hand,bring,transfer,-,gen,gen,like cat,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,animal,non-human_animate,non-human_animate,?,-,a full-grown dog,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,animal,non-human_animate,non-human_animate,indefinite,-,determiner/number_mismatch,NP_PP.
2511,1148,auto,quote,communication,-,bn,evoked,a price,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,prepositional ambiguity - for,NP NP.
2511,1117,auto,give,abstract,-,gen,evoked,a tune-up,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,concrete,concrete,inan,definite,-,,NP NP.
2511,1117,auto,pay,transfer,-,frame,gen,good money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,somebody,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,human,human,human,indefinite,-,,NP NP.
2511,1117,auto,take,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,vehicle,concrete,inan,definite,-,him,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2511,1148,auto,give,transfer,-,evoked,gen,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,non-concrete,non-concrete,inan,definite,-,someone else,singular,third,non-local,impersonal_pronoun,non-pronominal,non-pronominal,2,2,human,human,human,indefinite,-,,NP_PP.
2511,1117,auto,cost,prevention of possession,-,bn,sitev,roughly a hundred dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2511,1148,auto,owe,future transfer,-,bn,sitev,three hundred dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2511,1117,auto,pay,transfer,-,bn,gen,twenty-five dollars,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,somebody,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,human,human,human,indefinite,-,,NP NP.
2513,1146,auto,cost,prevention of possession,-,bn,sitev,at least six seven eight dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3+,6,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2513,1146,auto,show,communication,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2513,1146,auto,take,transfer,-,evoked,bn,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,vehicle,concrete,inan,definite,-,transmission shop nationally recognized name,singular,third,non-local,common,non-pronominal,non-pronominal,3+,5,place,non-concrete,inan,?,-,"spatial,_determiner/number_mismatch",NP_PP.
2513,1103,auto,cost,prevention of possession,-,frame,sitev,megabucks,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2513,1146,hand,take,transfer,-,anch,bn-anch,my car,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,vehicle,concrete,inan,definite,-,a friend of mine,singular,third,non-local,common,non-pronominal,non-pronominal,3+,4,human,human,human,indefinite,-,,NP_PP.
2513,1146,auto,give,abstract,-,frame,sitev,the labor,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2513,1146,auto,give,transfer,-,frame,sitev,the parts,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,definite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2514,1083,auto,loan,transfer,-,frame,evoked,all of these billions of dollars,plural,third,non-local,partitive,non-pronominal,non-pronominal,3+,6,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2514,1083,auto,loan,transfer,-,frame,evoked,all that money,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2514,1214,auto,loan,transfer,-,gen,evoked,any more money,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2514,1083,hand,give,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,organization,non-human_animate,non-human_animate,definite,-,,NP_PP.
2514,1083,hand,loan,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,organization,non-human_animate,non-human_animate,definite,-,,NP_PP.
2514,1083,hand,loan,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,organization,non-human_animate,non-human_animate,definite,-,,NP_PP.
2514,1083,auto,loan,transfer,-,gen,gen,money,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,people like that,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,organization,non-human_animate,non-human_animate,indefinite,-,,NP_PP.
2514,1083,hand,give,transfer,-,gen,evoked,money,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2514,1083,hand,give,transfer,-,gen,evoked,money,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2514,1083,hand,give,transfer,-,gen,evoked,something,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2517,1151,auto,bring,transfer,-,evoked,sitev,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,me,singular,first_-_exclusive,local,personal_pronoun,local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2517,1151,hand,give,abstract,-,frame,evoked,some payback,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,Kitty Cat,singular,third,non-local,proper,non-pronominal,non-pronominal,2,2,animal,non-human animate,non-human animate,definite,-,,NP NP.
2517,1151,auto,cost,prevention of possession,-,bn,evoked,two hundred dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2518,1016,auto,pay,abstract,-,gen,anch,a whole lot of attention,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,my diet,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,,NP_PP.
2519,1096,auto,give,abstract,-,gen,sitev,a little more activity,singular,third,non-local,common,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2520,1087,hand,give,abstract,-,gen,sitev,a lot of room to play with,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,7,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2521,1225,auto,show,communication,-,bn,evoked,another football game,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2521,1225,auto,give,abstract,-,gen,evoked,another game,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2521,1073,auto,give,abstract,-,gen,sitev,much respect for their team,singular,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2521,1225,auto,tell,communication,-,bn,sitev,something,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2522,1084,hand,give,abstract,-,gen,sitev,a job,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2522,1084,hand,give,abstract,-,gen,evoked,a job,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2522,1084,auto,bring,abstract,-,gen,anch,more jobs and more federal spending,plural,third,non-local,common,non-pronominal,non-pronominal,3+,6,non-concrete,non-concrete,inan,indefinite,+,their little area,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,place,non-concrete,inan,definite,-,,NP_PP.
2523,1175,auto,give,abstract,-,bn,gen,more money to start their life,singular,third,non-local,common,non-pronominal,non-pronominal,2+,6,non-concrete,non-concrete,inan,indefinite,-,people that come into the country,singular,third,non-local,common,non-pronominal,non-pronominal,1+,6,human,human,human,indefinite,-,,NP NP.
2523,1175,auto,give,abstract,-,frame,evoked,that loan,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2531,1122,auto,give,abstract,-,gen,evoked,a life sentence,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2531,1208,hand,give,abstract,-,frame,evoked,at least a third of the thing that they win,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,10,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2531,1208,auto,give,abstract,-,gen,evoked,more than one life sentence,singular,third,non-local,common,non-pronominal,non-pronominal,1+,5,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2531,1122,hand,give,abstract,-,gen,evoked,one appeal,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2531,1122,hand,give,abstract,-,gen,evoked,one appeal,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2531,1122,auto,give,abstract,-,gen,evoked,the death penalty,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,definite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2531,1122,hand,give,transfer,-,sitev,sitev,the money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2532,1027,auto,give,abstract,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,non-concrete,non-concrete,inan,definite,-,us,plural,first_-_broadly_inclusive,local,personal_pronoun,local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2533,1083,auto,give,abstract,-,gen,evoked,a hard time,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,her,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2533,1083,hand,give,transfer,-,bn,bn,a tip of four rangers tickets,singular,third,non-local,common,non-pronominal,non-pronominal,3+,6,non-concrete,non-concrete,inan,indefinite,-,an Iranian,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,indefinite,-,,NP NP.
2533,1083,auto,quote,communication,-,gen,sitev,the proverb,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2533,1083,auto,give,transfer,-,evoked,bn,them,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,Alan,singular,third,non-local,proper,non-pronominal,non-pronominal,1,1,human,human,human,definite,-,,NP_PP.
2533,1083,auto,give,transfer,-,evoked,evoked,them,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,us,plural,first_-_exclusive,local,personal_pronoun,local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2534,1130,hand,tell,communication,-,evoked,evoked,that,singular,third,non-local,demonstrative pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,animal,non-human animate,non-human animate,definite,-,,NP NP.
2534,1141,auto,send,transfer,-,evoked,sitev,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,you,singular,second_-_non-specific,non-local,personal_pronoun,non-local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2535,1096,auto,give,abstract,-,gen,evoked,a sixty year sentence,singular,third,non-local,common,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2535,1096,auto,pay,abstract,-,gen,evoked,any attention,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,non-concrete,non-concrete,inan,definite,-,,NP_PP.
2535,1096,auto,pay,abstract,-,gen,coin,any attention,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,the ones that are starving next door,plural,third,non-local,quantifier,non-pronominal,non-pronominal,2+,7,human,human,human,definite,-,,NP_PP.
2536,1151,auto,write,transfer,-,gen,evoked,a check,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,prepositional ambiguity - for,NP NP.
2536,1151,auto,send,transfer,-,bn,evoked,a letter with a copy of the canceled check and their card cut up into about a hundred pieces,singular,third,non-local,common,non-pronominal,non-pronominal,2+,19,concrete,concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2536,1151,auto,take,transfer,-,bn-anch,bn,all my cats,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,animal,non-human_animate,non-human_animate,definite,-,the vet,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,spatial_--_maybe,NP_PP.
2536,1151,hand,send,transfer,-,gen,sitev,anything else,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2536,1151,hand,send,transfer,-,gen,sitev,card that you didn't apply for,singular,third,non-local,common,non-pronominal,non-pronominal,1+,5,concrete,concrete,inan,?,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,determiner/number mismatch,NP NP.
2536,1151,auto,give,abstract,-,bn,sitev,instant credit,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2536,1151,auto,send,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,organization,non-human_animate,non-human_animate,definite,-,,NP_PP.
2536,1092,auto,give,transfer,back,coin,sitev,some of your money,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2536,1092,auto,send,transfer,-,evoked,sitev,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,you,singular,second_-_non-specific,non-local,personal_pronoun,non-local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2536,1151,auto,send,transfer,-,gen,sitev,this nice statement,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,definite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2537,1016,auto,allow,abstract,-,frame,gen,a chance to get out of it,singular,third,non-local,common,non-pronominal,non-pronominal,2+,7,non-concrete,non-concrete,inan,indefinite,-,everybody,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,human,human,human,definite,-,,NP NP.
